timestamp_utc,episode,reward,score,episode_steps,average_reward,best_reward,epsilon,total_training_steps,q_entries
2026-04-30T04:06:22.1351513+00:00,191,140.1396,2500,3371,304.2690,1165.8721,0.385821,667496,18451
2026-04-30T04:06:35.5498309+00:00,192,931.0101,13900,16041,314.2857,1165.8721,0.383892,683537,18532
2026-04-30T04:06:51.4411786+00:00,193,1107.1628,16700,19000,327.4521,1165.8721,0.381972,702537,18552
2026-04-30T04:07:00.7134317+00:00,194,573.1522,9600,11063,334.7215,1165.8721,0.380062,713600,18591
2026-04-30T04:07:11.6006287+00:00,195,720.8556,11600,12995,344.3220,1165.8721,0.378162,726595,18622
2026-04-30T04:07:16.5609077+00:00,196,295.6414,4900,5875,343.9749,1165.8721,0.376271,732470,18645
2026-04-30T04:07:25.4268655+00:00,197,552.0256,9200,10582,351.1244,1165.8721,0.374390,743052,18675
2026-04-30T04:07:28.3355470+00:00,198,137.9460,2700,3423,351.9641,1165.8721,0.372518,746475,18685
2026-04-30T04:07:30.4642522+00:00,199,89.2827,1600,2504,351.5262,1165.8721,0.370655,748979,18689
2026-04-30T04:07:39.5633104+00:00,200,589.2448,9300,10836,358.8437,1165.8721,0.368802,759815,18706
2026-04-30T04:07:56.9461904+00:00,201,1181.6312,18100,20780,377.6749,1181.6312,0.366958,780595,18734
2026-04-30T04:08:01.2112251+00:00,202,253.1788,4100,5056,380.7870,1181.6312,0.365123,785651,18754
2026-04-30T04:08:10.3798086+00:00,203,642.9703,9600,10931,389.7707,1181.6312,0.363298,796582,18766
2026-04-30T04:08:18.2525855+00:00,204,515.1714,8000,9416,393.6440,1181.6312,0.361481,805998,18801
2026-04-30T04:08:31.1584282+00:00,205,865.7515,13300,15414,403.0364,1181.6312,0.359674,821412,18858
2026-04-30T04:08:39.2295934+00:00,206,508.2827,8200,9622,402.9121,1181.6312,0.357875,831034,18886
2026-04-30T04:08:56.1749004+00:00,207,1160.1115,17800,20249,419.3896,1181.6312,0.356086,851283,18913
2026-04-30T04:09:03.8860158+00:00,208,505.7004,8100,9213,423.7222,1181.6312,0.354306,860496,18927
2026-04-30T04:09:25.6712611+00:00,209,1499.0612,23100,26026,448.1053,1499.0612,0.352534,886522,18967
2026-04-30T04:09:28.1640606+00:00,210,113.1247,2100,2951,447.8045,1499.0612,0.350771,889473,18981
2026-04-30T04:09:37.4936153+00:00,211,624.4474,9600,11115,443.8020,1499.0612,0.349018,900588,18999
2026-04-30T04:09:50.8350501+00:00,212,911.8894,14000,15959,457.0431,1499.0612,0.347272,916547,19043
2026-04-30T04:09:57.0338288+00:00,213,402.4883,6100,7387,461.6450,1499.0612,0.345536,923934,19051
2026-04-30T04:10:02.8459272+00:00,214,373.7845,5900,6899,461.5062,1499.0612,0.343808,930833,19064
2026-04-30T04:10:05.1456713+00:00,215,90.0212,1900,2688,460.6222,1499.0612,0.342089,933521,19077
2026-04-30T04:10:29.1507985+00:00,216,1629.1836,24900,27821,477.0170,1629.1836,0.340379,961342,19112
2026-04-30T04:10:34.6229373+00:00,217,332.7420,5100,6376,481.5094,1629.1836,0.338677,967718,19126
